nome_do_anuncio,nome_do_conjunto_de_anuncios,identificacao_da_campanha,veiculacao_do_anuncio,alcance,impressoes,frequencia,tipo_de_resultado,resultados,custo_por_resultado,valor_gasto_brl,cpm_custo_por_1_000_impressoes,cliques_no_link,cpc_custo_por_clique_no_link,ctr_taxa_de_cliques_no_link,inicio_dos_relatorios,termino_dos_relatorios,termino
Default name - Tráfego,BR - 18+,23842808343510620,not_delivering,49732,62201,1.2507238799968,Cliques no link,771,0.23346303501946,180,2.89384415,771,0.23346304,1.2395299110947,2017-08-13,2019-02-15,43229
Default name - Tráfego,BR - 18+,23842808343510620,not_delivering,49732,62201,1.2507238799968,Cliques no link,771,0.23346303501946,180,2.89384415,771,0.23346304,1.2395299110947,2017-08-13,2019-02-15,43235
Default name - Tráfego,BR - 18+,23842808343510620,not_delivering,49732,62201,1.2507238799968,Cliques no link,771,0.23346303501946,180,2.89384415,771,0.23346304,1.2395299110947,2017-08-13,2019-02-15,43258
Default name - Tráfego,BR - 18+,23842804246610620,not_delivering,20839,39610,1.900762992466,Cliques no link,373,0.48257372654155,180,4.54430699,373,0.48257373,0.94168139358748,2017-08-13,2019-02-15,43229
Default name - Tráfego,BR - 18+,23842804246610620,not_delivering,20839,39610,1.900762992466,Cliques no link,373,0.48257372654155,180,4.54430699,373,0.48257373,0.94168139358748,2017-08-13,2019-02-15,43235
Default name - Tráfego,BR - 18+,23842804246610620,not_delivering,20839,39610,1.900762992466,Cliques no link,373,0.48257372654155,180,4.54430699,373,0.48257373,0.94168139358748,2017-08-13,2019-02-15,43258
"Publicação: """""""" - Envolvimento",BR - 18+,23842791786700620,not_delivering,9286,12143,1.307667456386,Envolvimento com a publicação,2765,0.065099457504521,180,14.82335502,13,13.84615385,0.10705756402866,2017-08-13,2019-02-15,
"Publicação: """""""" - Envolvimento",BR - 18+,23842782115710620,not_delivering,48543,123551,2.5451867416517,Envolvimento com a publicação,28925,0.0062229904926534,180,1.45688825,41,4.3902439,0.033184676773154,2017-08-13,2019-02-15,
"Publicação: """""""" - Envolvimento",BR - 18+,23842813978800620,not_delivering,16122,20414,1.2662200719514,Envolvimento com a publicação,2558,0.070367474589523,180,8.8174782,25,7.2,0.12246497501715,2017-08-13,2019-02-15,
Default name - Tráfego,BR - 18+,23842829199380620,not_delivering,31071,46659,1.5016896784783,Cliques no link,359,0.50139275766017,180,3.85777663,359,0.50139276,0.76941211770505,2017-08-13,2019-02-15,43229
Default name - Tráfego,BR - 18+,23842829199380620,not_delivering,31071,46659,1.5016896784783,Cliques no link,359,0.50139275766017,180,3.85777663,359,0.50139276,0.76941211770505,2017-08-13,2019-02-15,43235
Default name - Tráfego,BR - 18+,23842829199380620,not_delivering,31071,46659,1.5016896784783,Cliques no link,359,0.50139275766017,180,3.85777663,359,0.50139276,0.76941211770505,2017-08-13,2019-02-15,43258
"Publicação: """""""" - Envolvimento",BR - 18+,23842779947310620,not_delivering,5530,7425,1.3426763110307,Envolvimento com a publicação,1954,0.092118730808598,180,24.24242424,8,22.5,0.10774410774411,2017-08-13,2019-02-15,
Default Name - Alcance,BR - 18-35,23842763304470620,not_delivering,154973,204655,1.3205848760752,Alcance,154973,1.1614926471063,180,0.87952896,157,1.14649682,0.076714470694584,2017-08-13,2019-02-15,43197
Default Name - Alcance,BR - 18-35,23842763304470620,not_delivering,154973,204655,1.3205848760752,Alcance,154973,1.1614926471063,180,0.87952896,157,1.14649682,0.076714470694584,2017-08-13,2019-02-15,43200
Reconhecimento da marca - Tádepé,BR - 25-64,23842749308000620,not_delivering,45753,74181,1.621336305816,Aumento estimado de lembrança do anúncio (pessoas),3340,0.053892215568862,180,2.42649735,101,1.78217822,0.13615346247691,2017-08-13,2019-02-15,43187
Default Name - Instalações do aplicativo,GIF Instalações App - Android,23842734598710620,not_delivering,15895,21730,1.3670965712488,Instalações do aplicativo para celular,82,2.1951219512195,180,8.28347906,157,1.14649682,0.72250345144961,2017-08-13,2019-02-15,42978
Default Name - Instalações do aplicativo,GIF Instalações App - Android,23842734598710620,not_delivering,15895,21730,1.3670965712488,Instalações do aplicativo para celular,82,2.1951219512195,180,8.28347906,157,1.14649682,0.72250345144961,2017-08-13,2019-02-15,43145
